COUNTY,COUNTY.CODE,STATE,STATE.CODE
Nicobar,IN-AN-NI,Andaman and Nicobar Islands,IN-AN
North and Middle Andaman,IN-AN-AN,Andaman and Nicobar Islands,IN-AN
South Andaman,IN-AN-AS,Andaman and Nicobar Islands,IN-AN
Anantapuramu,IN-AP-AN,Andhra Pradesh,IN-AP
Chittoor,IN-AP-CH,Andhra Pradesh,IN-AP
East Godavari,IN-AP-EG,Andhra Pradesh,IN-AP
Guntur,IN-AP-GU,Andhra Pradesh,IN-AP
Krishna,IN-AP-KR,Andhra Pradesh,IN-AP
Kurnool,IN-AP-KU,Andhra Pradesh,IN-AP
Prakasam,IN-AP-PR,Andhra Pradesh,IN-AP
Sri Potti Sriramulu Nellore,IN-AP-NE,Andhra Pradesh,IN-AP
Srikakulam,IN-AP-SR,Andhra Pradesh,IN-AP
Visakhapatnam,IN-AP-VS,Andhra Pradesh,IN-AP
Vizianagaram,IN-AP-VZ,Andhra Pradesh,IN-AP
West Godavari,IN-AP-WG,Andhra Pradesh,IN-AP
YSR District (Kadapa),IN-AP-CU,Andhra Pradesh,IN-AP
Anjaw,IN-AR-AN,Arunachal Pradesh,IN-AR
Changlang,IN-AR-CH,Arunachal Pradesh,IN-AR
East Kameng,IN-AR-EK,Arunachal Pradesh,IN-AR
East Siang,IN-AR-ES,Arunachal Pradesh,IN-AR
Kamle,IN-AR-KA,Arunachal Pradesh,IN-AR
Kra Daadi,IN-AR-KD,Arunachal Pradesh,IN-AR
Kurung Kumey,IN-AR-KK,Arunachal Pradesh,IN-AR
Lepa Rada,IN-AR-LR,Arunachal Pradesh,IN-AR
Lohit,IN-AR-LO,Arunachal Pradesh,IN-AR
Longding,IN-AR-LN,Arunachal Pradesh,IN-AR
Lower Dibang Valley,IN-AR-LD,Arunachal Pradesh,IN-AR
Lower Siang,IN-AR-LS,Arunachal Pradesh,IN-AR
Lower Subansiri,IN-AR-LB,Arunachal Pradesh,IN-AR
Namsai,IN-AR-NA,Arunachal Pradesh,IN-AR
Pakke Kessang,IN-AR-PK,Arunachal Pradesh,IN-AR
Papum Pare,IN-AR-PA,Arunachal Pradesh,IN-AR
Shi Yomi,IN-AR-SY,Arunachal Pradesh,IN-AR
Siang,IN-AR-SI,Arunachal Pradesh,IN-AR
Tawang,IN-AR-TA,Arunachal Pradesh,IN-AR
Tirap,IN-AR-TI,Arunachal Pradesh,IN-AR
Upper Dibang Valley,IN-AR-UD,Arunachal Pradesh,IN-AR
Upper Siang,IN-AR-US,Arunachal Pradesh,IN-AR
Upper Subansiri,IN-AR-UB,Arunachal Pradesh,IN-AR
West Kameng,IN-AR-WK,Arunachal Pradesh,IN-AR
West Siang,IN-AR-WS,Arunachal Pradesh,IN-AR
Baksa,IN-AS-BK,Assam,IN-AS
Barpeta,IN-AS-BA,Assam,IN-AS
Biswanath,IN-AS-BI,Assam,IN-AS
Bongaigaon,IN-AS-BO,Assam,IN-AS
Cachar,IN-AS-CA,Assam,IN-AS
Charaideo,IN-AS-CH,Assam,IN-AS
Chirang,IN-AS-CR,Assam,IN-AS
Darrang,IN-AS-DA,Assam,IN-AS
Dhemaji,IN-AS-DM,Assam,IN-AS
Dhubri,IN-AS-DB,Assam,IN-AS
Dibrugarh,IN-AS-DI,Assam,IN-AS
Dima Hasao,IN-AS-NC,Assam,IN-AS
Goalpara,IN-AS-GP,Assam,IN-AS
Golaghat,IN-AS-GG,Assam,IN-AS
Hailakandi,IN-AS-HA,Assam,IN-AS
Hojai,IN-AS-HO,Assam,IN-AS
Jorhat,IN-AS-JO,Assam,IN-AS
Kamrup,IN-AS-KP,Assam,IN-AS
Kamrup Metropolitan,IN-AS-KM,Assam,IN-AS
Karbi Anglong,IN-AS-KA,Assam,IN-AS
Karimganj,IN-AS-KR,Assam,IN-AS
Kokrajhar,IN-AS-KK,Assam,IN-AS
Lakhimpur,IN-AS-LA,Assam,IN-AS
Majuli,IN-AS-MJ,Assam,IN-AS
Morigaon,IN-AS-MA,Assam,IN-AS
Nagaon,IN-AS-NG,Assam,IN-AS
Nalbari,IN-AS-NL,Assam,IN-AS
Sivasagar,IN-AS-SI,Assam,IN-AS
Sonitpur,IN-AS-SO,Assam,IN-AS
South Salmara-Mankachar,IN-AS-SS,Assam,IN-AS
Tinsukia,IN-AS-TI,Assam,IN-AS
Udalguri,IN-AS-UD,Assam,IN-AS
West Karbi Anglong,IN-AS-WK,Assam,IN-AS
Araria,IN-BR-AR,Bihar,IN-BR
Arwal,IN-BR-AW,Bihar,IN-BR
Aurangabad,IN-BR-AU,Bihar,IN-BR
Banka,IN-BR-BA,Bihar,IN-BR
Begusarai,IN-BR-BE,Bihar,IN-BR
Bhagalpur,IN-BR-BG,Bihar,IN-BR
Bhojpur,IN-BR-BJ,Bihar,IN-BR
Buxar,IN-BR-BU,Bihar,IN-BR
Darbhanga,IN-BR-DA,Bihar,IN-BR
Gaya,IN-BR-GA,Bihar,IN-BR
